qty,item_i,gst_i,purchase_d
1,43342,2468235,01/09/2015_00:00:00
1,83354,5095670,11/10/2016_00:00:00
1,242897,2895155,11/08/2015_00:00:00
1,73684,4317860,30/09/2015_00:00:00
2,41811,3947682,28/12/2015_00:00:00
1,39403,788290,04/01/2017_00:00:00
1,118888,2482638,11/07/2016_00:00:00
1,50844,4518312,29/03/2016_00:00:00
2,5336,1812657,20/04/2016_00:00:00
2,179450,1258496,06/07/2016_00:00:00
1,43390,2897141,10/05/2016_00:00:00
1,207147,1487677,10/01/2016_00:00:00
1,198640,2487166,23/09/2016_00:00:00
1,105648,2639949,28/01/2016_00:00:00
1,126556,5188419,13/11/2016_00:00:00
1,50386,2365491,29/08/2015_00:00:00
1,120580,4877920,04/01/2016_00:00:00
1,100206,330037,08/04/2016_00:00:00
1,112959,2773036,16/08/2015_00:00:00
1,96212,438096,21/08/2016_00:00:00
1,41144,3586253,11/05/2016_00:00:00
1,163577,2208037,08/10/2015_00:00:00
1,214042,39605,25/01/2017_00:00:00
1,84774,1091170,18/08/2015_00:00:00
2,96749,3923515,24/01/2016_00:00:00
1,54149,2061338,01/03/2016_00:00:00
7,243939,1694812,22/12/2015_00:00:00
1,40692,1881888,10/11/2015_00:00:00
2,99034,2629,24/03/2016_00:00:00
1,41700,1464822,11/02/2016_00:00:00
1,199587,3883892,14/07/2016_00:00:00
1,50942,3258096,09/03/2016_00:00:00
1,111298,2549794,27/03/2016_00:00:00
1,97974,4192601,05/12/2016_00:00:00
1,101531,377551,17/09/2015_00:00:00
2,135867,4933594,20/03/2016_00:00:00
1,42024,2400841,27/06/2016_00:00:00
1,46363,4069888,14/10/2015_00:00:00
1,95745,361338,21/08/2015_00:00:00
1,96211,1017018,22/09/2015_00:00:00
1,54165,1904015,27/05/2016_00:00:00
1,63649,4345994,24/11/2015_00:00:00
1,179718,1558220,07/03/2017_00:00:00
2,50846,3243291,16/10/2015_00:00:00
1,56838,5043837,01/09/2016_00:00:00
1,50546,1479580,12/12/2016_00:00:00
2,725,4207938,25/10/2015_00:00:00
1,107051,2242074,22/02/2017_00:00:00
1,148997,4835889,14/05/2016_00:00:00
1,215145,438096,25/04/2016_00:00:00
1,99497,3217007,03/09/2016_00:00:00
1,204559,458047,04/03/2017_00:00:00
2,46061,4981028,13/11/2016_00:00:00
1,45164,331804,25/05/2016_00:00:00
1,40867,965651,04/03/2017_00:00:00
1,63737,1699325,24/06/2016_00:00:00
1,64147,331804,10/01/2017_00:00:00
1,46061,3384086,16/08/2016_00:00:00
1,40997,2549794,15/01/2016_00:00:00
1,209644,4688532,16/12/2016_00:00:00
1,96230,5043837,01/04/2016_00:00:00
1,49319,1055031,10/09/2015_00:00:00
1,104913,4876665,24/02/2016_00:00:00
1,228346,3256845,28/12/2016_00:00:00
1,48855,2549794,02/10/2016_00:00:00
3,48174,4416546,15/11/2015_00:00:00
1,241819,1582797,30/09/2015_00:00:00
1,4198,467970,31/12/2015_00:00:00
1,41791,4343028,04/12/2015_00:00:00
1,161177,2653450,05/06/2016_00:00:00
1,48038,825515,23/07/2016_00:00:00
2,95423,2629,18/01/2016_00:00:00
1,151347,1966913,07/10/2016_00:00:00
1,125486,1090119,27/11/2015_00:00:00
1,59533,989281,02/06/2016_00:00:00
1,51165,361788,21/10/2016_00:00:00
1,103643,1412720,17/09/2015_00:00:00
1,176024,4155804,29/07/2016_00:00:00
1,98525,4432632,21/03/2016_00:00:00
1,54896,465822,28/02/2016_00:00:00
1,232362,579295,24/12/2015_00:00:00
2,100810,2652623,07/01/2017_00:00:00
1,47540,342694,17/01/2017_00:00:00
1,40536,208060,24/11/2016_00:00:00
1,97554,3520500,30/10/2016_00:00:00
1,42690,1212734,28/02/2016_00:00:00
1,44937,2563664,25/04/2016_00:00:00
2,45256,1904015,23/10/2015_00:00:00
10,157882,5180578,08/02/2016_00:00:00
1,228654,4634760,01/07/2016_00:00:00
1,241299,777229,12/03/2017_00:00:00
1,58020,4870477,07/10/2015_00:00:00
2,102401,1398285,23/12/2015_00:00:00
2,241485,3364906,28/02/2017_00:00:00
1,125716,5095670,21/12/2015_00:00:00
6,57239,1331044,23/08/2016_00:00:00
1,104166,690939,22/01/2017_00:00:00
1,223124,5171802,11/08/2015_00:00:00
1,72982,2115165,16/12/2015_00:00:00
1,48960,4414710,30/09/2016_00:00:00
1,205585,2653450,19/03/2016_00:00:00
1,119292,4674330,25/02/2017_00:00:00
1,209526,3733624,18/11/2015_00:00:00
1,79600,3330021,07/03/2016_00:00:00
1,53852,3258096,27/02/2017_00:00:00
1,70679,3343705,18/01/2016_00:00:00
1,50024,3225034,21/04/2016_00:00:00
1,85015,1847210,24/01/2016_00:00:00
2,41856,4870477,07/11/2016_00:00:00
1,238488,3386992,29/12/2015_00:00:00
1,97348,5401,21/03/2016_00:00:00
3,170957,1331044,23/11/2016_00:00:00
1,139378,112388,22/09/2015_00:00:00
1,98859,2107213,22/09/2015_00:00:00
1,55756,5071832,02/10/2016_00:00:00
1,41552,5147107,23/03/2016_00:00:00
1,98999,5073990,22/10/2015_00:00:00
1,138077,1127374,18/02/2016_00:00:00
1,194698,4877920,07/10/2015_00:00:00
1,128803,2446816,27/08/2015_00:00:00
1,227100,1784410,30/01/2016_00:00:00
1,164264,1642873,31/01/2016_00:00:00
3,59047,4283243,27/10/2015_00:00:00
1,107212,1295937,03/09/2016_00:00:00
1,100202,1250234,30/09/2015_00:00:00
1,95160,4716202,20/07/2016_00:00:00
1,83955,4471212,20/07/2016_00:00:00
1,114606,1624184,29/02/2016_00:00:00
1,138926,2773617,10/08/2016_00:00:00
1,179735,3256845,01/05/2016_00:00:00
6,45719,486047,08/10/2015_00:00:00
1,41227,657068,09/06/2016_00:00:00
1,43059,5188419,18/07/2016_00:00:00
1,124982,1173538,11/10/2015_00:00:00
1,222177,1365052,14/11/2015_00:00:00
1,46043,1187340,19/10/2016_00:00:00
1,48189,554286,07/06/2016_00:00:00
1,100093,1374177,23/11/2015_00:00:00
2,43125,4362238,09/11/2016_00:00:00
1,233671,4243895,26/09/2015_00:00:00
1,43768,2482638,31/08/2016_00:00:00
1,42688,3338017,12/06/2016_00:00:00
1,102391,438347,28/12/2015_00:00:00
1,48865,3060212,22/12/2016_00:00:00
1,222217,4211868,02/01/2016_00:00:00
2,40766,3145599,21/04/2016_00:00:00
1,43057,2031199,20/10/2015_00:00:00
3,48753,3207399,02/01/2016_00:00:00
2,40565,2734609,14/01/2017_00:00:00
1,51807,1719858,27/01/2017_00:00:00
1,210412,2695313,22/11/2015_00:00:00
1,43942,3256845,02/03/2017_00:00:00
1,85271,3789922,06/08/2016_00:00:00
1,7274,1642873,07/07/2016_00:00:00
1,87992,5147107,23/06/2016_00:00:00
1,134454,1173538,31/01/2016_00:00:00
2,101942,438347,21/12/2015_00:00:00
1,98907,1028712,30/09/2016_00:00:00
1,95200,1702217,13/11/2015_00:00:00
1,51396,2376181,08/07/2016_00:00:00
1,62811,5154905,29/04/2016_00:00:00
1,47804,2206715,24/12/2016_00:00:00
1,59550,419193,31/12/2016_00:00:00
1,41739,2711694,12/12/2016_00:00:00
1,105648,3210381,13/12/2015_00:00:00
1,2362,2009296,25/05/2016_00:00:00
1,64203,4949346,09/12/2015_00:00:00
1,41252,744020,27/12/2015_00:00:00
1,93412,569749,20/07/2016_00:00:00
1,45525,2390272,22/03/2016_00:00:00
2,55318,600281,21/12/2015_00:00:00
2,59321,89080,18/12/2015_00:00:00
1,67377,4064400,12/09/2015_00:00:00
1,139342,2895155,19/10/2016_00:00:00
1,163070,4373194,08/03/2017_00:00:00
1,64293,3103594,06/10/2016_00:00:00
1,129414,4518312,28/03/2016_00:00:00
1,176277,2563664,19/02/2016_00:00:00
1,44286,492669,29/11/2015_00:00:00
1,119960,2868206,09/11/2016_00:00:00
1,97825,3645830,29/03/2016_00:00:00
1,230518,4413435,26/03/2017_00:00:00
2,128042,2563664,21/08/2016_00:00:00
1,108115,1976956,28/03/2016_00:00:00
1,4177,1591857,30/08/2016_00:00:00
1,101987,1770465,23/07/2016_00:00:00
1,211781,2653450,22/07/2016_00:00:00
2,97091,961883,30/12/2016_00:00:00
1,84451,3879119,22/09/2016_00:00:00
4,157782,3683804,01/11/2016_00:00:00
1,106533,2298095,26/05/2016_00:00:00
2,98880,330037,12/10/2016_00:00:00
1,63637,4273506,16/12/2015_00:00:00
1,95657,807056,14/09/2015_00:00:00
1,110458,1351895,22/03/2016_00:00:00
2,49760,2115165,02/05/2016_00:00:00
1,118525,2855376,21/12/2015_00:00:00
1,111236,1582797,20/09/2016_00:00:00
1,47321,2387484,05/01/2017_00:00:00
1,5412,2042005,06/01/2017_00:00:00
2,40604,167226,22/12/2015_00:00:00
1,100628,1582797,10/12/2016_00:00:00
3,51808,284894,02/07/2016_00:00:00
3,117933,1768125,05/03/2017_00:00:00
1,219600,2009296,07/01/2016_00:00:00
1,4136,3228967,08/06/2016_00:00:00
1,156228,515319,17/01/2016_00:00:00
1,19449,2268869,02/02/2017_00:00:00
1,111259,2693706,09/01/2017_00:00:00
1,40767,2820841,30/11/2015_00:00:00
1,45343,1661441,05/02/2016_00:00:00
1,97220,1624184,05/06/2016_00:00:00
1,114436,3256845,26/06/2016_00:00:00
1,3926,1483888,27/09/2016_00:00:00
1,58955,3688883,31/03/2016_00:00:00
1,142235,1774494,22/09/2015_00:00:00
1,81130,4723743,16/07/2016_00:00:00
1,231259,492669,14/02/2016_00:00:00
1,170495,1904015,04/11/2015_00:00:00
1,51675,2180813,02/01/2017_00:00:00
2,81005,87626,05/05/2016_00:00:00
1,47312,3228967,18/10/2016_00:00:00
1,116708,2992822,17/05/2016_00:00:00
1,244805,2786142,25/10/2015_00:00:00
1,237777,5051874,02/11/2016_00:00:00
1,58692,3343705,01/05/2016_00:00:00
1,40932,3188483,20/11/2016_00:00:00
1,52397,185169,30/09/2015_00:00:00
1,73003,2652623,26/09/2016_00:00:00
1,99897,982573,08/07/2016_00:00:00
1,40159,1649745,20/08/2016_00:00:00
3.93,109559,5072702,04/10/2015_00:00:00
1,40149,1507740,17/09/2016_00:00:00
1,48960,2076336,08/12/2015_00:00:00
1,41911,4937722,26/02/2016_00:00:00
1,126537,1904015,25/11/2016_00:00:00
1,39307,185169,04/11/2016_00:00:00
1,41391,1768125,14/12/2016_00:00:00
1,242658,5082700,01/01/2017_00:00:00
1,41181,4525173,06/10/2015_00:00:00
1,101530,4878969,15/09/2015_00:00:00
2,41299,4368935,12/01/2017_00:00:00
1,48839,2361100,14/01/2016_00:00:00
1,103644,2424379,23/04/2016_00:00:00
9,107849,1636703,16/04/2016_00:00:00
1,114292,1631542,27/03/2017_00:00:00
1,41181,4777820,01/06/2016_00:00:00
1,198269,1984446,16/08/2016_00:00:00
1,59031,4527625,09/05/2016_00:00:00
1,42687,4697069,14/03/2016_00:00:00
1,95398,554286,19/01/2017_00:00:00
1,196462,2758317,14/04/2016_00:00:00
1,44538,1726236,15/10/2015_00:00:00
3,96195,1774494,01/12/2016_00:00:00
1,74871,4437121,26/02/2017_00:00:00
1,149552,3391014,05/12/2016_00:00:00
1,144680,685234,20/08/2016_00:00:00
1,100314,1591857,03/08/2016_00:00:00
1,95701,2065425,20/07/2016_00:00:00
1,211462,1183190,15/10/2016_00:00:00
1,105660,3207399,09/12/2016_00:00:00
1,45578,342694,01/04/2017_00:00:00
6,194414,4414710,16/12/2015_00:00:00
1,78059,1694812,13/02/2016_00:00:00
1,222292,2250758,03/04/2016_00:00:00
1,150026,593359,16/06/2016_00:00:00
1,63742,2526816,05/11/2016_00:00:00
4,42691,807056,04/12/2015_00:00:00
1,102806,2262224,04/08/2016_00:00:00
1,41859,546516,18/01/2017_00:00:00
1,42546,2955321,04/07/2016_00:00:00
1,114686,87626,02/03/2017_00:00:00
1,41566,4315268,09/09/2015_00:00:00
1,177170,2678978,25/08/2015_00:00:00
1,36095,308996,13/10/2016_00:00:00
1,45361,2298095,29/05/2016_00:00:00
1,50555,2598918,07/02/2017_00:00:00
1,214272,3500517,13/08/2016_00:00:00
1,59520,3879119,15/06/2016_00:00:00
1,115535,4748077,16/08/2015_00:00:00
1,43940,3247351,24/02/2017_00:00:00
1,40611,3563193,14/01/2017_00:00:00
1,145952,4753139,15/02/2017_00:00:00
2,62809,492669,27/12/2015_00:00:00
1,231987,600281,12/03/2016_00:00:00
1,52249,3228967,11/04/2016_00:00:00
1,242446,4731108,14/02/2016_00:00:00
1,232466,1903041,11/02/2017_00:00:00
1,116699,4939121,14/07/2016_00:00:00
1,41555,5169491,24/09/2016_00:00:00
1,42510,3882828,17/10/2016_00:00:00
1,238838,961883,17/03/2017_00:00:00
1,47330,2877757,09/11/2016_00:00:00
1,104221,1851167,19/07/2016_00:00:00
1,111386,2246972,20/12/2015_00:00:00
1,103101,5197912,11/11/2016_00:00:00
2,243791,807056,05/11/2015_00:00:00
1,152121,1212734,21/11/2015_00:00:00
1,219689,1609362,19/06/2016_00:00:00
1,45650,3930024,17/05/2016_00:00:00
2,99234,4584804,21/09/2015_00:00:00
1,43091,1233143,15/09/2016_00:00:00
1,45630,2786142,12/02/2016_00:00:00
1,106983,853878,12/10/2015_00:00:00
1,158766,539590,17/04/2016_00:00:00
1,40431,3947682,09/03/2016_00:00:00
1,53969,1428387,18/08/2015_00:00:00
1,166272,2158296,01/08/2016_00:00:00
1,220616,2357913,08/05/2016_00:00:00
1,103401,2262224,16/10/2015_00:00:00
1,62539,1651863,24/10/2015_00:00:00
1,222330,2786142,26/01/2017_00:00:00
1,54821,519803,27/08/2015_00:00:00
2,55733,2806822,12/03/2017_00:00:00
1,108975,1387569,11/10/2015_00:00:00
1,94376,5197912,26/12/2016_00:00:00
1,223262,1591857,13/01/2016_00:00:00
1,22490,465822,04/08/2016_00:00:00
1,41198,284894,10/07/2016_00:00:00
3,64190,402560,22/05/2016_00:00:00
1,241286,4041753,03/01/2017_00:00:00
1,43249,4423124,02/02/2016_00:00:00
1,108711,4368935,30/09/2015_00:00:00
1,50650,4558722,23/12/2015_00:00:00
6,235577,2557311,17/01/2016_00:00:00
1,182773,4661530,24/12/2015_00:00:00
1,151363,5107448,25/04/2016_00:00:00
1,5324,2429557,25/03/2016_00:00:00
1,196431,1694812,03/07/2016_00:00:00
1,113854,3623434,06/01/2017_00:00:00
1,117949,4044639,05/05/2016_00:00:00
1,51286,3118190,21/10/2016_00:00:00
3,65815,3948430,25/09/2015_00:00:00
2,41271,3637129,29/10/2016_00:00:00
1,206282,1903041,01/11/2015_00:00:00
2,46059,3327985,12/09/2015_00:00:00
2,84297,5073011,28/02/2016_00:00:00
1,173418,4368935,01/04/2017_00:00:00
1,39220,971014,12/12/2016_00:00:00
2,41027,3563193,13/08/2015_00:00:00
1,40857,3231975,23/06/2016_00:00:00
1,91815,5043837,26/10/2015_00:00:00
1,65072,4249183,17/02/2017_00:00:00
1,93413,3208296,27/03/2017_00:00:00
1,20800,2376181,18/09/2015_00:00:00
1,101662,981748,30/11/2015_00:00:00
1,90162,560185,08/11/2015_00:00:00
1,103101,129491,03/01/2017_00:00:00
1,64279,1904015,07/09/2016_00:00:00
1,92623,4489645,10/01/2017_00:00:00
1,241883,833903,14/01/2016_00:00:00
11,46863,1850781,12/06/2016_00:00:00
1,80468,4368935,26/10/2016_00:00:00
1,228415,1131227,30/04/2016_00:00:00
2,54307,961883,16/10/2016_00:00:00
1,107368,257693,24/01/2017_00:00:00
1,40226,1677152,16/03/2016_00:00:00
1,114990,1825491,27/12/2016_00:00:00
1,48183,3289067,12/10/2015_00:00:00
2,77611,2265296,02/10/2016_00:00:00
1,124915,2629,17/08/2015_00:00:00
1,148830,1044854,15/11/2016_00:00:00
1,40141,439113,02/03/2017_00:00:00
1,105590,4731108,11/10/2016_00:00:00
1,55697,1470281,08/08/2016_00:00:00
7,101418,2450270,04/09/2015_00:00:00
1,209744,725356,11/02/2017_00:00:00
1,173752,2513424,01/10/2015_00:00:00
1,41987,1435897,06/10/2015_00:00:00
1,63588,1435897,12/11/2015_00:00:00
1,46933,466727,27/09/2015_00:00:00
1,41378,1643287,07/03/2016_00:00:00
1,48606,4448932,08/03/2017_00:00:00
1,134448,1258496,27/06/2016_00:00:00
4,108892,3377771,05/10/2015_00:00:00
2,102067,5051874,01/07/2016_00:00:00
1,93427,3657937,14/08/2015_00:00:00
1,40590,3586253,05/11/2015_00:00:00
1,47315,1090119,19/03/2017_00:00:00
2,161838,739663,11/04/2016_00:00:00
1,112950,4345994,03/11/2015_00:00:00
1,63071,4437121,31/01/2016_00:00:00
1,50135,3689286,01/10/2016_00:00:00
3,92123,3111707,20/12/2016_00:00:00
7,97092,1127374,01/11/2016_00:00:00
1,188536,4618455,25/06/2016_00:00:00
1,105951,284894,30/11/2016_00:00:00
1,21189,5401,24/08/2016_00:00:00
1,5308,4949346,22/09/2016_00:00:00
2,41166,2576483,29/02/2016_00:00:00
1,5330,4416546,26/09/2016_00:00:00
1,149823,2877757,25/06/2016_00:00:00
1,70346,1041571,08/10/2015_00:00:00
1,96720,1614510,16/04/2016_00:00:00
2,102399,657068,09/11/2015_00:00:00
2,79691,3299230,13/09/2016_00:00:00
1,112574,5193922,07/01/2017_00:00:00
1,160315,2213602,16/12/2016_00:00:00
1,230541,4049962,12/04/2016_00:00:00
2,40739,4468708,04/01/2017_00:00:00
2,239605,5084206,03/12/2016_00:00:00
2,50424,4164255,23/03/2017_00:00:00
1,183146,2262224,27/06/2016_00:00:00
1,121283,3739993,23/07/2016_00:00:00
1,40537,208060,05/03/2017_00:00:00
1,109125,1677152,18/03/2017_00:00:00
1,3937,5137205,09/01/2016_00:00:00
1,101287,2206715,29/05/2016_00:00:00
1,49992,3883892,05/11/2016_00:00:00
1,157882,2557311,24/12/2015_00:00:00
1,36748,3544885,27/11/2015_00:00:00
1,166092,1597223,15/01/2016_00:00:00
1,711,2815626,04/03/2016_00:00:00
1,43890,4939121,15/07/2016_00:00:00
1,242649,2339655,26/04/2016_00:00:00
1,110074,4966550,18/11/2015_00:00:00
1,130247,1694812,16/01/2017_00:00:00
1,5294,3118190,27/10/2016_00:00:00
1,202460,2809173,13/10/2016_00:00:00
1,231043,3027393,05/10/2015_00:00:00
1,246150,1331044,20/03/2017_00:00:00
1,63592,896077,24/06/2016_00:00:00
1,98593,2563664,19/03/2016_00:00:00
1,166134,1635211,15/09/2015_00:00:00
3,84876,421691,18/01/2017_00:00:00
1,64247,551641,13/12/2016_00:00:00
1,214461,2126364,17/03/2016_00:00:00
1,66935,1516900,15/01/2016_00:00:00
4,227100,1774494,18/09/2015_00:00:00
1,48162,1774494,05/12/2016_00:00:00
1,44022,4716202,16/03/2017_00:00:00
2,100030,361788,08/04/2016_00:00:00
2,45521,685211,16/12/2016_00:00:00
2,168786,4041753,02/10/2016_00:00:00
1,99934,1693693,27/11/2015_00:00:00
1,89090,4368935,10/06/2016_00:00:00
2,96144,3330021,17/12/2015_00:00:00
1,205764,200807,05/01/2016_00:00:00
4,103714,3377771,23/02/2016_00:00:00
1,83116,1183190,28/04/2016_00:00:00
1,46423,982573,09/05/2016_00:00:00
1,40557,2549794,28/01/2016_00:00:00
1,64232,1825491,11/10/2016_00:00:00
1,44217,3706368,30/01/2017_00:00:00
1,98783,5095670,29/01/2016_00:00:00
1,50416,4470069,19/10/2016_00:00:00
1,93411,4264338,28/02/2017_00:00:00
1,109532,1631542,22/12/2015_00:00:00
2,122484,2693652,26/04/2016_00:00:00
1,3603,2158296,29/06/2016_00:00:00
1,123544,1847210,22/09/2016_00:00:00
1,160589,5122809,06/10/2015_00:00:00
1,134624,1326904,26/04/2016_00:00:00
1,206072,3324746,01/07/2016_00:00:00
1,83459,833903,07/04/2016_00:00:00
1,47558,3678819,19/10/2015_00:00:00
2,107923,722970,08/06/2016_00:00:00
1,104443,1091170,18/07/2016_00:00:00
2,97437,3072246,09/12/2016_00:00:00
1,53444,3678819,28/11/2015_00:00:00
1,42838,1112748,17/12/2016_00:00:00
4,45625,1881888,06/06/2016_00:00:00
1,40958,3384086,28/04/2016_00:00:00
1,45758,438347,31/08/2015_00:00:00
1,58708,3210381,02/02/2017_00:00:00
1,100163,3704180,11/02/2017_00:00:00
1,163634,3500517,30/11/2016_00:00:00
1,47232,2982139,31/10/2015_00:00:00
1,170291,4217607,12/12/2016_00:00:00
1,41226,4416546,01/06/2016_00:00:00
1,41191,1783632,07/03/2017_00:00:00
1,45208,1904015,12/11/2015_00:00:00
1,98307,539134,04/11/2016_00:00:00
1,226055,2242074,10/01/2017_00:00:00
1,51214,3817073,20/11/2016_00:00:00
2,96505,4413435,30/07/2016_00:00:00
1,196735,4517881,09/12/2016_00:00:00
1,133782,1984446,16/01/2016_00:00:00
1,100062,5027818,26/03/2016_00:00:00
1,3772,2933258,24/02/2016_00:00:00
2,41748,4626156,05/03/2017_00:00:00
1,55757,87626,17/07/2016_00:00:00
1,218189,2387484,17/04/2016_00:00:00
1,54190,5076248,26/09/2016_00:00:00
1,40666,2316941,25/07/2016_00:00:00
1,48618,331804,24/12/2015_00:00:00
1,121248,2020816,23/03/2017_00:00:00
1,107307,4646561,26/01/2016_00:00:00
1,198675,1398285,09/03/2017_00:00:00
1,77507,1628864,31/07/2016_00:00:00
1,40705,3504300,17/09/2016_00:00:00
7,49680,2870253,13/08/2015_00:00:00
1,104635,2696804,27/05/2016_00:00:00
1,33828,3690965,23/09/2015_00:00:00
1,46174,4395642,17/12/2016_00:00:00
2,120010,2262224,08/12/2016_00:00:00
1,40061,3497470,21/03/2017_00:00:00
3,41318,833903,05/01/2017_00:00:00
1,92941,350518,29/03/2016_00:00:00
2,49264,3247351,07/03/2017_00:00:00
1,78806,961883,27/12/2016_00:00:00
1,87847,3213633,30/10/2016_00:00:00
1,111117,647592,24/10/2015_00:00:00
1,3917,2806822,30/12/2016_00:00:00
1,95110,466727,01/03/2017_00:00:00
1,46470,1131227,23/02/2016_00:00:00
1,122580,136226,03/12/2015_00:00:00
1,56184,4789427,25/04/2016_00:00:00
1,215631,129491,01/04/2017_00:00:00
1,47306,4049962,16/08/2015_00:00:00
1,114026,1133717,22/05/2016_00:00:00
1,99035,3384086,16/05/2016_00:00:00
3,107926,3346861,21/05/2016_00:00:00
1,224532,4373194,02/08/2016_00:00:00
1,99480,787835,18/07/2016_00:00:00
1,40742,647592,19/11/2015_00:00:00
1,172434,4414710,15/07/2016_00:00:00
1,58300,5072702,29/12/2015_00:00:00
2,101174,1661441,27/02/2017_00:00:00
2,54148,1715906,02/03/2016_00:00:00
2,44014,923830,23/05/2016_00:00:00
1,56963,458047,08/02/2016_00:00:00
1,212148,1516900,05/02/2017_00:00:00
2,45603,1946366,22/12/2016_00:00:00
1,4236,1046056,28/12/2015_00:00:00
1,192720,2072144,13/05/2016_00:00:00
1,46423,1759023,05/12/2015_00:00:00
1,737,4731108,03/12/2015_00:00:00
1,101591,3111707,17/12/2016_00:00:00
1,51546,2405074,16/02/2017_00:00:00
1,48174,1615775,11/01/2016_00:00:00
1,107786,371808,22/11/2015_00:00:00
1,40590,3678819,31/03/2017_00:00:00
1,247536,989281,25/08/2016_00:00:00
1,105947,2297038,16/10/2016_00:00:00
1,100546,4565053,09/02/2016_00:00:00
1,243371,2033617,10/10/2015_00:00:00
1,123764,257123,30/01/2016_00:00:00
1,41172,1461496,27/11/2016_00:00:00
1,55323,1966913,09/07/2016_00:00:00
1,81205,4318802,19/06/2016_00:00:00
1,4738,5095670,14/05/2016_00:00:00
1,82815,4243895,13/08/2015_00:00:00
2,106355,4926698,22/07/2016_00:00:00
1,41520,3327985,03/10/2015_00:00:00
2,198351,4395654,15/12/2016_00:00:00
1,45630,2520480,31/01/2017_00:00:00
1,127209,3368072,19/11/2016_00:00:00
1,86634,2323,28/08/2015_00:00:00
1,59814,4419302,27/12/2015_00:00:00
1,212109,4280484,13/01/2016_00:00:00
1,63693,26385,08/10/2016_00:00:00
1,245797,4832517,24/07/2016_00:00:00
1,41555,2581641,06/12/2016_00:00:00
1,214252,1046056,03/12/2016_00:00:00
1,74055,1028712,03/11/2016_00:00:00
1,51607,3277209,28/10/2016_00:00:00
2,48115,923830,16/06/2016_00:00:00
1,43225,467277,28/02/2016_00:00:00
2,59802,2482638,15/10/2016_00:00:00
1,162287,2241200,09/10/2015_00:00:00
1,197654,5119214,13/09/2016_00:00:00
1,106382,2424379,22/09/2015_00:00:00
1,215885,1150412,15/11/2016_00:00:00
1,111742,3645830,22/11/2016_00:00:00
1,134459,810115,29/08/2016_00:00:00
2,43139,787835,13/04/2016_00:00:00
1,63689,3094317,06/09/2016_00:00:00
2,226311,4741133,04/08/2016_00:00:00
1,59799,4494737,06/05/2016_00:00:00
1,64513,1233143,25/03/2017_00:00:00
1,64290,1212734,18/07/2016_00:00:00
1,46421,1128321,16/05/2016_00:00:00
1,72350,5073990,26/10/2015_00:00:00
1,52215,377551,29/08/2016_00:00:00
1,42777,2047974,01/10/2015_00:00:00
1,139377,350518,24/11/2015_00:00:00
1,106956,5188419,16/01/2017_00:00:00
1,122039,4487328,26/03/2016_00:00:00
1,132007,4889248,17/03/2016_00:00:00
1,246127,184788,21/06/2016_00:00:00
1,62315,3923515,19/12/2015_00:00:00
16,48513,3948430,01/01/2017_00:00:00
1,41289,4571819,01/08/2016_00:00:00
1,95543,5193922,01/12/2016_00:00:00
1,45179,5107448,08/11/2016_00:00:00
3,49634,419193,12/03/2017_00:00:00
1,45408,3384086,15/11/2015_00:00:00
1,99698,1636703,30/04/2016_00:00:00
1,48802,5137205,24/05/2016_00:00:00
2,126683,4494737,03/02/2017_00:00:00
1,3776,5072702,01/02/2017_00:00:00
1,174128,740566,13/09/2016_00:00:00
1,42080,1205948,25/07/2016_00:00:00
1,54223,657068,27/08/2015_00:00:00
1,241269,171522,02/03/2017_00:00:00
1,106544,4876665,05/08/2016_00:00:00
1,71884,2773617,05/12/2015_00:00:00
1,42573,4626156,25/02/2017_00:00:00
1,55468,777229,27/11/2016_00:00:00
1,123764,681965,13/02/2017_00:00:00
1,85522,2532578,15/05/2016_00:00:00
2,182735,3391014,02/08/2016_00:00:00
1,65376,1628864,19/09/2015_00:00:00
1,42530,3299230,14/03/2016_00:00:00
1,109854,4494737,25/11/2015_00:00:00
1,46031,2262224,09/07/2016_00:00:00
6,241320,1971428,10/11/2016_00:00:00
2,48031,668546,27/10/2016_00:00:00
2,117630,4302387,01/11/2016_00:00:00
1,108879,998609,12/12/2016_00:00:00
1,102095,1131227,11/10/2015_00:00:00
1,228421,5193922,11/05/2016_00:00:00
2,99655,4217607,17/09/2016_00:00:00
1,153029,4518312,26/11/2015_00:00:00
1,48529,167226,02/06/2016_00:00:00
1,142225,2982139,18/01/2016_00:00:00
1,43641,2736709,22/10/2015_00:00:00
5,41191,1131227,12/09/2015_00:00:00
1,85268,5188419,06/05/2016_00:00:00
1,223834,1416841,16/10/2016_00:00:00
1,114761,4933594,04/08/2016_00:00:00
1,119171,2169455,27/01/2016_00:00:00
1,121157,3675337,22/03/2016_00:00:00
2,42820,1825491,15/02/2017_00:00:00
1,54885,2639949,12/03/2017_00:00:00
1,98909,1904015,01/01/2017_00:00:00
1,98882,1233143,01/10/2015_00:00:00
1,225151,961883,12/09/2015_00:00:00
1,100809,2598918,07/03/2016_00:00:00
6,125907,2567543,18/10/2015_00:00:00
1,39311,2920227,13/05/2016_00:00:00
1,239645,466727,27/12/2016_00:00:00
1,214259,1649745,07/09/2015_00:00:00
1,50158,1582797,29/11/2015_00:00:00
2,116934,2009296,01/08/2016_00:00:00
1,136170,2809173,04/01/2016_00:00:00
1,112110,467277,12/07/2016_00:00:00
1,231016,4877920,15/12/2016_00:00:00
-1,42030,101393,28/02/2017_00:00:00
1,48122,3896249,31/05/2016_00:00:00
